Year,State,Sector,Price (cents/kWh),Sales (MWh)
2005,Alabama,Residential,7.5,15962
2005,Alabama,Commercial,7.18,18784
2005,Alabama,Industrial,6.86,23351
2005,Alaska,Residential,7.77,15758
2005,Alaska,Commercial,7.9,18318
2005,Alaska,Industrial,8.19,23555
2005,Arizona,Residential,7.3,16335
2005,Arizona,Commercial,7.4,19561
2005,Arizona,Industrial,7.85,22129
2005,Arkansas,Residential,6.97,16393
2005,Arkansas,Commercial,7.31,19572
2005,Arkansas,Industrial,6.6,22074
2005,California,Residential,7.88,15535
2005,California,Commercial,7.01,17395
2005,California,Industrial,7.2,22811
2005,Colorado,Residential,7.03,14923
2005,Colorado,Commercial,7.55,18949
2005,Colorado,Industrial,6.4,22856
2005,Connecticut,Residential,7.82,15942
2005,Connecticut,Commercial,7.18,19310
2005,Connecticut,Industrial,7.47,21569
2005,Delaware,Residential,7.06,14510
2005,Delaware,Commercial,7.38,19323
2005,Delaware,Industrial,7.41,21789
2005,Florida,Residential,7.48,15298
2005,Florida,Commercial,7.63,18659
2005,Florida,Industrial,7.6,23746
2005,Georgia,Residential,6.89,15777
2005,Georgia,Commercial,6.48,18789
2005,Georgia,Industrial,6.54,23358
2005,Hawaii,Residential,8.19,16183
2005,Hawaii,Commercial,7.89,18968
2005,Hawaii,Industrial,8.81,22379
2005,Idaho,Residential,6.52,14389
2005,Idaho,Commercial,6.29,19047
2005,Idaho,Industrial,6.42,22306
2005,Illinois,Residential,7.24,15175
2005,Illinois,Commercial,7.42,17997
2005,Illinois,Industrial,7.27,22759
2005,Indiana,Residential,6.63,16637
2005,Indiana,Commercial,6.87,17505
2005,Indiana,Industrial,6.72,24388
2005,Iowa,Residential,6.94,15291
2005,Iowa,Commercial,6.99,18659
2005,Iowa,Industrial,6.78,22851
2005,Kansas,Residential,6.8,15569
2005,Kansas,Commercial,6.4,19685
2005,Kansas,Industrial,6.8,22416
2005,Kentucky,Residential,6.08,16223
2005,Kentucky,Commercial,6.49,18501
2005,Kentucky,Industrial,6.28,21980
2005,Louisiana,Residential,7.1,14848
2005,Louisiana,Commercial,6.9,19156
2005,Louisiana,Industrial,6.85,22971
2005,Maine,Residential,7.2,16374
2005,Maine,Commercial,7.74,17804
2005,Maine,Industrial,7.8,24286
2005,Maryland,Residential,7.39,15967
2005,Maryland,Commercial,7.06,18712
2005,Maryland,Industrial,7.57,22572
2005,Massachusetts,Residential,7.84,15024
2005,Massachusetts,Commercial,8.16,19302
2005,Massachusetts,Industrial,7.6,22002
2005,Michigan,Residential,7.01,15525
2005,Michigan,Commercial,6.88,18617
2005,Michigan,Industrial,6.99,23359
2005,Minnesota,Residential,6.85,15474
2005,Minnesota,Commercial,7.27,19253
2005,Minnesota,Industrial,6.65,22119
2005,Mississippi,Residential,6.66,15779
2005,Mississippi,Commercial,6.63,18596
2005,Mississippi,Industrial,6.86,22687
2005,Missouri,Residential,6.66,14981
2005,Missouri,Commercial,6.91,19246
2005,Missouri,Industrial,6.2,22874
2005,Montana,Residential,6.33,15801
2005,Montana,Commercial,6.23,17892
2005,Montana,Industrial,6.17,21976
2005,Nebraska,Residential,6.63,16008
2005,Nebraska,Commercial,6.59,19241
2005,Nebraska,Industrial,6.31,23088
2005,Nevada,Residential,7.37,16348
2005,Nevada,Commercial,7.14,19313
2005,Nevada,Industrial,7.56,23307
2005,New Hampshire,Residential,7.8,14163
2005,New Hampshire,Commercial,8.2,19294
2005,New Hampshire,Industrial,8.15,22152
2005,New Jersey,Residential,7.79,16120
2005,New Jersey,Commercial,8.34,17997
2005,New Jersey,Industrial,8.0,22378
2005,New Mexico,Residential,7.01,14144
2005,New Mexico,Commercial,6.8,17865
2005,New Mexico,Industrial,7.2,24357
2005,New York,Residential,7.84,15967
2005,New York,Commercial,7.91,18080
2005,New York,Industrial,8.01,23011
2005,North Carolina,Residential,6.87,15915
2005,North Carolina,Commercial,6.92,19266
2005,North Carolina,Industrial,7.09,21981
2005,North Dakota,Residential,6.21,15456
